20120412102140,56,120,27,32,12,124,54,7,11,9,201,51,9,43,10,28,119,32,13.5,39.04,28.75,23.35,22
20120412102200,52,113,32,29,11,111,50,3,6,18,203,65,7,45,5,26,153,46,15.28,41.19,29.92,22.54,21
20120412102220,51,110,32,34,10,108,44,1,11,21,211,59,13,54,1,23,132,38,14.18,39.72,29.33,24.7,21
20120412102240,46,112,34,25,9,82,37,5,8,9,236,77,5,42,3,20,156,39,15.47,40.33,29.5,23.12,21
20120412102300,35,109,27,40,15,102,55,9,9,15,236,73,9,28,7,23,169,45,15.76,41.94,30.85,23.76,20
20120412102320,36,119,23,38,11,136,61,6,5,16,249,49,8,47,7,21,147,39,16.33,43.37,31.5,23.77,19
20120412102340,35,94,30,28,12,118,57,4,13,14,235,59,15,45,6,31,162,39,15.48,41.1,29.55,25.02,22
20120412102400,33,102,28,43,15,121,46,10,7,13,219,47,5,46,8,31,150,39,15,39.91,29.84,22.14,21
20120412102540,89,146,27,40,15,118,66,9,17,15,317,109,17,27,4,16,170,31,20.39,54.38,38.11,32.74,25
20120412102600,64,129,33,60,25,136,58,5,13,17,299,73,14,47,11,24,189,29,20.23,52.51,37.65,30.8,24
20120412102620,70,155,37,51,18,150,79,4,12,14,322,61,12,66,3,18,192,43,20.47,55.7,39.9,32.03,31
20120412102640,53,123,34,85,28,161,73,11,8,15,256,60,9,61,8,26,182,40,16.97,46.99,34.98,28.36,24
20120412102700,70,158,32,47,12,115,56,4,9,15,260,79,7,60,4,21,160,40,18.54,49.54,35.52,28.04,24
20120412102720,60,131,37,59,24,155,75,12,11,15,279,71,14,51,10,19,203,43,18.36,53.04,38.47,30.73,24
20120412102740,53,138,50,74,25,121,56,8,9,19,283,69,7,54,10,20,169,43,18.81,50.88,36.7,29.64,22
20120412102800,52,154,44,41,9,147,73,10,8,18,261,93,13,55,9,29,178,39,19.14,49.47,36.1,28.14,23
20120412102820,41,160,37,48,21,116,50,10,10,15,272,83,8,46,9,21,173,39,19.69,51.77,36.58,28.77,24
20120412102840,45,145,47,63,22,123,56,9,5,18,284,90,7,49,9,19,192,38,19.44,51.03,37.08,28.03,25
20120412102900,52,143,40,48,11,122,53,8,7,16,270,84,9,65,9,18,164,51,18.4,48.04,35.53,27.41,23
20120412102920,65,143,36,41,16,134,72,8,9,23,277,82,9,37,7,24,192,51,18.93,51.4,37.29,28.62,23
20120412102940,51,126,42,40,14,112,50,5,10,20,271,79,9,48,7,20,178,58,17.66,47.8,34.59,27.51,23
20120412103120,78,177,39,52,15,174,90,5,15,26,370,114,15,56,4,22,212,42,22.13,62.51,46.17,35.85,31
20120412103140,98,167,49,43,14,154,71,4,7,21,356,107,7,59,4,27,183,24,22.79,59.67,44.07,33.2,34
20120412103200,97,178,55,45,19,170,78,7,13,19,311,107,11,68,10,23,191,51,20.97,57.21,44.21,34.68,31
20120412103220,63,160,40,71,22,187,88,11,16,22,344,85,16,71,7,28,203,58,23.71,59.03,45.01,36.98,42
